,state,action
0,6,2
1,8,2
2,9,2
3,10,2
4,14,2
5,172,1
6,55,2
7,68,2
8,67,2
9,70,0
10,71,2
11,72,2
12,259,2
13,254,2
14,256,2
15,258,3
16,256,2
17,258,2
18,189,2
19,190,2
20,320,2
21,321,3
22,320,3
23,190,2
24,320,2
25,321,3
26,320,0
27,318,2
28,319,1
29,321,0
30,319,1
31,321,0
32,319,3
33,318,2
34,319,3
35,318,2
36,319,1
37,321,1
38,323,0
39,321,0
40,319,3
41,318,1
42,320,2
43,321,3
44,320,2
45,321,3
46,320,2
47,321,0
48,319,1
49,321,3
50,320,2
51,321,1
52,323,0
53,321,1
54,323,1
55,342,1
56,264,3
57,263,2
58,264,3
59,263,2
60,264,3
61,263,2
62,264,0
63,342,1
64,264,0
65,342,3
66,262,1
67,263,2
68,264,3
69,263,2
70,264,1
71,265,3
72,266,2
73,265,1
74,244,0
75,265,3
76,266,1
77,245,2
78,244,1
79,243,3
80,246,2
81,243,3
82,246,2
83,243,3
84,246,2
85,243,0
86,244,3
87,245,2
88,244,0
89,265,3
90,266,3
91,267,3
92,183,2
93,267,2
94,266,2
95,265,1
96,244,3
97,245,2
98,244,3
99,245,2
100,244,1
101,243,0
102,244,0
103,265,1
104,244,1
105,243,1
106,242,1
107,218,3
108,219,2
109,218,3
110,219,1
111,214,2
112,215,3
113,214,2
114,215,3
115,214,2
116,215,0
117,218,0
118,242,1
119,218,3
120,219,2
121,218,1
122,215,0
123,218,0
124,242,0
125,243,0
126,244,1
127,243,3
128,246,2
129,243,1
130,242,1
131,218,1
132,215,3
133,214,2
134,215,3
135,214,2
136,215,0
137,218,0
138,242,1
139,218,1
140,215,0
141,218,0
142,242,1
143,218,0
144,242,3
145,241,2
146,242,3
147,241,3
148,239,2
149,241,2
150,242,3
151,241,1
152,219,2
153,218,1
154,215,1
155,216,3
156,213,2
157,216,0
158,215,1
159,216,0
160,215,0
161,218,0
162,242,0
163,243,1
164,242,0
165,243,3
166,246,2
167,243,0
168,244,3
169,245,2
170,244,0
171,265,1
172,244,3
173,245,2
174,244,0
175,265,1
176,244,3
177,245,2
178,244,3
179,245,2
180,244,1
181,243,1
182,242,3
183,241,3
184,239,2
185,241,2
186,242,1
187,218,1
188,215,1
189,216,3
190,213,2
191,216,1
192,217,3
193,212,2
194,217,1
195,345,0
196,217,0
197,216,1
198,217,0
