,state,action
0,6,2
1,8,2
2,9,2
3,10,2
4,14,2
5,172,2
6,80,2
7,76,1
8,67,2
9,70,0
10,71,2
11,72,0
12,73,2
13,252,2
14,253,2
15,257,2
16,324,2
17,322,2
18,317,2
19,318,2
20,319,1
21,321,3
22,320,2
23,321,0
24,319,3
25,318,3
26,317,2
27,318,2
28,319,3
29,318,2
30,319,1
31,321,0
32,319,1
33,321,1
34,323,0
35,321,1
36,323,1
37,342,1
38,264,0
39,342,0
40,323,0
41,321,3
42,320,2
43,321,0
44,319,1
45,321,0
46,319,1
47,321,0
48,319,1
49,321,0
50,319,1
51,321,1
52,323,3
53,261,2
54,323,3
55,261,2
56,323,0
57,321,1
58,323,0
59,321,3
60,320,2
61,321,1
62,323,3
63,261,2
64,323,1
65,342,0
66,323,1
67,342,0
68,323,1
69,342,0
70,323,1
71,342,0
72,323,1
73,342,0
74,323,1
75,342,1
76,264,0
77,342,3
78,262,2
79,342,1
80,264,0
81,342,0
82,323,3
83,261,2
84,323,0
85,321,3
86,320,2
87,321,0
88,319,3
89,318,2
90,319,1
91,321,1
92,323,1
93,342,1
94,264,3
95,263,2
96,264,0
97,342,3
98,262,0
99,261,2
100,323,1
101,342,0
102,323,3
103,261,2
104,323,0
105,321,0
106,319,3
107,318,2
108,319,3
109,318,2
110,319,1
111,321,1
112,323,1
113,342,0
114,323,3
115,261,3
116,191,2
117,261,2
118,323,1
119,342,1
120,264,1
121,265,1
122,244,0
123,265,3
124,266,2
125,265,1
126,244,1
127,243,1
128,242,0
129,243,1
130,242,0
131,243,1
132,242,3
133,241,2
134,242,0
135,243,0
136,244,3
137,245,3
138,314,2
139,245,2
140,244,3
141,245,2
142,244,1
143,243,3
144,246,2
145,243,1
146,242,3
147,241,2
148,242,3
149,241,0
150,246,2
151,243,1
152,242,1
153,218,1
154,215,0
155,218,1
156,215,0
157,218,0
158,242,0
159,243,1
160,242,3
161,241,2
162,242,3
163,241,2
164,242,1
165,218,1
166,215,0
167,218,0
168,242,0
169,243,0
170,244,1
171,243,1
172,242,1
173,218,3
174,219,2
175,218,0
176,242,0
177,243,3
178,246,2
179,243,0
180,244,1
181,243,1
182,242,3
183,241,2
184,242,0
185,243,1
186,242,1
187,218,1
188,215,3
189,214,1
190,213,2
191,216,0
192,215,0
193,218,1
194,215,3
195,214,2
196,215,0
197,218,0
198,242,1
