,state,action
0,0,1
1,106,7
2,0,1
3,106,1
4,40,0
5,3,1
6,4,1
7,6,2
8,60,1
9,320,1
10,321,1
11,330,1
12,331,1
13,350,1
14,351,1
15,352,4
16,380,1
17,381,1
18,383,1
19,377,1
20,378,1
21,373,1
22,368,3
23,362,0
24,369,1
25,364,7
26,369,1
27,364,4
28,365,1
29,371,7
30,365,7
31,324,3
32,325,0
33,326,1
34,328,7
35,326,1
36,328,0
37,327,6
38,326,1
39,328,5
40,329,0
41,328,7
42,326,1
43,328,0
44,327,5
45,328,6
46,325,1
47,329,4
48,326,2
49,329,5
50,371,5
51,364,4
52,365,1
53,371,7
54,365,1
55,371,6
56,369,4
57,324,1
58,365,1
59,371,4
60,325,7
61,323,1
62,325,1
63,329,7
64,325,1
65,329,7
66,325,1
67,329,7
68,325,1
69,329,6
70,365,1
71,371,6
72,369,5
73,362,1
74,363,4
75,369,7
76,348,4
77,366,4
78,264,1
79,322,1
80,323,1
81,325,4
82,370,0
83,306,1
84,349,1
85,327,5
86,328,5
87,329,4
88,326,1
89,328,7
90,326,1
91,328,5
92,329,6
93,365,7
94,324,1
95,365,1
96,371,0
97,329,5
98,371,4
99,325,1
100,329,0
101,328,5
102,329,7
103,325,3
104,328,4
105,349,1
106,327,0
107,318,5
108,327,4
109,234,1
110,318,5
111,327,7
112,349,1
113,327,4
114,234,1
115,318,5
116,327,7
117,349,2
118,328,7
119,326,1
120,328,7
121,326,1
122,328,6
123,325,4
124,370,7
125,305,4
126,291,1
127,266,7
128,291,1
129,266,1
130,306,1
131,349,1
132,327,4
133,234,1
134,318,4
135,235,1
136,238,6
137,234,1
138,318,6
139,349,5
140,326,5
141,325,1
142,329,4
143,326,4
144,306,1
145,349,1
146,327,5
147,328,4
148,349,2
149,328,4
150,349,5
151,326,1
152,328,4
153,349,1
154,327,0
155,318,6
156,349,1
157,327,0
158,318,5
159,327,6
160,326,1
161,328,0
162,327,5
163,328,7
164,326,1
165,328,6
166,325,1
167,329,4
168,326,4
169,306,1
170,349,1
171,327,4
172,234,1
173,318,5
174,327,4
175,234,1
176,318,7
177,234,1
178,318,4
179,235,1
180,238,5
181,318,5
182,327,4
183,234,1
184,318,5
185,327,4
186,234,2
187,327,0
188,318,5
189,327,6
190,326,1
191,328,0
192,327,5
193,328,5
194,329,7
195,325,1
196,329,7
197,325,1
198,329,5
199,371,4
200,325,3
201,328,0
202,327,7
203,349,6
204,370,2
205,325,1
206,329,0
207,328,5
208,329,7
209,325,3
210,328,6
211,325,7
212,323,1
213,325,1
214,329,0
215,328,7
216,326,1
217,328,6
218,325,0
219,326,1
220,328,5
221,329,0
222,328,5
223,329,7
224,325,1
225,329,6
226,365,1
227,371,6
228,369,1
229,364,6
230,362,5
231,360,1
232,361,7
233,360,1
234,361,7
235,360,1
236,361,7
237,360,1
238,361,7
239,360,1
240,361,5
241,359,7
242,358,1
243,359,4
244,360,1
245,361,5
246,359,4
247,360,1
248,361,6
249,358,1
250,359,7
251,358,1
252,359,7
253,358,4
254,368,4
255,347,5
256,373,4
257,374,1
258,347,3
259,348,1
260,369,6
261,372,0
262,348,1
263,369,4
264,324,1
265,365,0
266,325,1
267,329,7
268,325,1
269,329,5
270,371,5
271,364,0
272,371,4
273,325,3
274,328,4
275,349,1
276,327,4
277,234,1
278,318,5
279,327,7
280,349,1
281,327,5
282,328,7
283,326,4
284,306,5
285,370,1
286,326,1
287,328,6
288,325,1
289,329,6
290,365,2
291,364,4
292,365,1
293,371,0
294,329,0
295,328,5
296,329,4
297,326,1
298,328,7
299,326,1
300,328,7
301,326,2
302,329,7
303,325,5
304,365,1
305,371,5
306,364,7
307,369,1
308,364,7
309,369,6
310,372,1
311,362,4
312,348,1
313,369,1
314,364,7
315,369,1
316,364,0
317,371,6
318,369,1
319,364,4
320,365,1
321,371,5
322,364,7
323,369,3
324,371,0
325,329,5
326,371,7
327,365,1
328,371,0
329,329,5
330,371,0
331,329,5
332,371,0
333,329,7
334,325,3
335,328,7
336,326,1
337,328,6
338,325,1
339,329,7
340,325,3
341,328,7
342,326,5
343,325,1
344,329,5
345,371,5
346,364,6
347,362,0
348,369,3
349,371,0
