,state,action
0,80,1
1,132,3
2,82,1
3,133,3
4,87,3
5,48,1
6,50,1
7,51,1
8,52,1
9,14,1
10,127,7
11,14,7
12,52,5
13,13,1
14,230,1
15,231,1
16,317,6
17,334,3
18,317,1
19,335,1
20,338,1
21,312,1
22,264,1
23,322,1
24,323,7
25,322,0
26,305,2
27,323,1
28,325,1
29,329,6
30,365,0
31,325,3
32,328,5
33,329,0
34,328,4
35,349,1
36,327,7
37,349,1
38,327,6
39,326,1
40,328,7
41,326,3
42,327,7
43,349,1
44,327,0
45,318,7
46,234,4
47,233,1
48,235,1
49,238,0
50,239,7
51,237,1
52,239,0
53,240,4
54,104,7
55,28,2
56,103,4
57,28,7
58,27,1
59,28,1
60,104,6
61,102,5
62,236,1
63,237,7
64,236,3
65,103,7
66,102,1
67,103,2
68,239,0
69,240,5
70,239,6
71,235,6
72,367,5
73,306,1
74,349,1
75,327,0
76,318,0
77,238,7
78,235,2
79,318,7
80,234,1
81,318,7
82,234,1
83,318,0
84,238,7
85,235,1
86,238,5
87,318,0
88,238,4
89,237,1
90,239,4
91,103,1
92,240,6
93,237,1
94,239,0
95,240,7
96,103,1
97,240,7
98,103,1
99,240,5
100,239,7
101,237,1
102,239,7
103,237,1
104,239,6
105,235,1
106,238,7
107,235,1
108,238,6
109,234,1
110,318,6
111,349,1
112,327,7
113,349,1
114,327,5
115,328,7
116,326,5
117,325,1
118,329,0
119,328,6
120,325,1
121,329,6
122,365,2
123,364,4
124,365,1
125,371,4
126,325,3
127,328,4
128,349,2
129,328,6
130,325,1
131,329,5
132,371,7
133,365,1
134,371,6
135,369,1
136,364,6
137,362,1
138,363,0
139,364,7
140,369,1
141,364,0
142,371,5
143,364,7
144,369,7
145,348,1
146,369,3
147,371,0
148,329,6
149,365,1
150,371,7
151,365,4
152,323,5
153,324,6
154,346,1
155,348,7
156,346,1
157,348,1
158,369,1
159,364,6
160,362,4
161,348,1
162,369,4
163,324,1
164,365,1
165,371,4
166,325,2
167,371,7
168,365,1
169,371,5
170,364,5
171,363,7
172,362,2
173,361,0
174,363,7
175,362,1
176,363,6
177,360,1
178,361,4
179,362,1
180,363,7
181,362,7
182,372,1
183,362,2
184,361,6
185,358,1
186,359,0
187,361,5
188,359,0
189,361,0
190,363,0
191,364,0
192,371,0
193,329,4
194,326,1
195,328,0
196,327,7
197,349,1
198,327,6
199,326,1
200,328,0
201,327,7
202,349,1
203,327,5
204,328,7
205,326,7
206,370,1
207,326,5
208,325,1
209,329,4
210,326,1
211,328,6
212,325,4
213,370,2
214,325,1
215,329,7
216,325,1
217,329,6
218,365,1
219,371,4
220,325,1
221,329,4
222,326,1
223,328,0
224,327,0
225,318,7
226,234,1
227,318,6
228,349,7
229,306,1
230,349,1
231,327,7
232,349,1
233,327,0
234,318,4
235,235,1
236,238,0
237,239,5
238,238,4
239,237,0
240,103,2
241,239,4
242,103,1
243,240,0
244,105,7
245,104,1
246,105,6
247,103,1
248,240,7
249,103,1
250,240,4
251,104,1
252,105,7
253,104,3
254,30,7
255,29,1
256,30,7
257,29,1
258,30,6
259,104,5
260,103,1
261,240,0
262,105,4
263,29,0
264,35,7
265,74,1
266,35,1
267,31,7
268,35,1
269,31,6
270,29,0
271,35,0
272,33,1
273,32,0
274,34,4
275,57,1
276,37,0
277,39,7
278,38,1
279,39,7
280,38,1
281,39,4
282,58,1
