,state,action
0,3,3
1,62,2
2,6,0
3,7,6
4,4,4
5,41,3
6,44,2
7,7,0
8,45,6
9,62,7
10,41,6
11,2,3
12,41,4
13,132,4
14,277,3
15,176,2
16,82,4
17,176,4
18,339,1
19,134,3
20,177,4
21,295,3
22,178,2
23,294,4
24,178,3
25,140,6
26,178,3
27,140,6
28,178,3
29,140,4
30,180,6
31,179,4
32,398,2
33,179,1
34,298,4
35,181,2
36,298,7
37,179,6
38,343,3
39,179,6
40,343,2
41,295,3
42,178,2
43,294,4
44,178,1
45,139,6
46,136,7
47,295,4
48,343,2
49,295,2
50,177,4
51,295,4
52,343,2
53,295,6
54,340,3
55,295,5
56,135,4
57,341,3
58,304,6
59,341,5
60,340,5
61,339,3
62,135,5
63,134,3
64,177,2
65,85,4
66,177,2
67,85,4
68,177,3
69,294,3
70,286,4
71,140,6
72,178,4
73,179,3
74,180,6
75,179,2
76,178,0
77,298,2
78,139,6
79,136,0
80,178,2
81,294,1
82,138,2
83,88,2
84,50,2
85,65,5
86,11,6
87,63,6
88,108,4
89,45,3
90,46,2
91,63,4
92,46,0
93,47,1
94,64,3
95,51,4
96,49,3
97,89,6
98,49,2
99,51,2
100,13,1
101,230,4
102,52,4
103,211,2
104,52,4
105,211,4
106,162,0
107,257,7
108,146,5
109,161,7
110,138,4
111,139,4
112,298,2
113,139,4
114,298,6
115,304,5
116,295,4
117,343,3
118,179,2
119,178,4
120,179,6
121,343,2
122,295,6
123,340,3
124,295,2
125,177,4
126,295,3
127,178,4
128,179,2
129,178,3
130,140,3
131,142,5
132,269,6
133,139,3
134,269,7
135,140,4
136,180,4
137,182,2
138,180,2
139,140,2
140,286,4
141,140,3
142,142,2
143,143,3
144,145,7
145,144,1
146,145,1
147,219,2
148,164,5
149,218,6
150,89,3
151,218,2
152,66,0
153,91,1
154,109,3
155,213,1
156,98,5
157,21,3
158,22,2
159,100,3
160,55,4
161,25,6
162,22,1
163,128,3
164,26,2
165,101,6
166,252,5
167,280,5
168,291,7
169,290,3
170,280,2
171,266,6
172,265,3
173,266,6
174,265,2
175,322,4
176,265,4
177,290,2
178,265,2
179,322,3
180,370,0
181,306,0
182,367,3
183,235,0
184,237,5
185,235,3
186,239,4
187,103,3
188,105,0
189,30,0
190,31,7
191,35,1
192,31,4
193,33,7
194,75,7
195,73,4
196,159,4
197,121,3
198,124,7
199,171,6
200,120,2
201,158,6
202,116,2
203,112,2
204,70,4
205,112,4
206,116,6
207,156,6
208,279,3
209,156,2
210,111,4
211,156,3
212,116,6
213,156,2
214,111,4
215,156,5
216,254,6
217,95,6
218,93,2
219,213,1
220,98,6
221,212,2
222,54,7
223,20,3
224,21,3
225,22,0
226,23,3
227,68,0
228,69,4
229,157,2
230,69,6
231,24,3
232,69,3
233,72,4
234,115,6
235,157,3
236,115,7
237,116,4
238,118,6
239,119,5
240,216,4
241,154,6
242,153,2
243,215,7
244,152,3
245,155,2
246,279,4
247,155,3
248,119,1
249,217,4
250,168,3
251,225,6
252,168,6
253,154,2
254,216,7
255,155,6
256,152,4
257,208,3
258,166,4
259,210,4
260,274,6
261,303,4
262,309,6
263,203,4
264,191,2
265,203,5
266,300,6
267,185,2
268,337,4
269,185,3
270,300,2
271,205,6
272,337,4
273,185,4
274,186,1
275,202,6
276,301,4
277,187,2
278,301,4
279,187,3
280,190,0
281,201,3
282,192,1
283,386,2
284,309,0
285,310,3
286,311,2
287,285,2
288,223,3
289,275,2
290,227,3
291,228,1
292,175,7
293,228,6
294,227,7
295,224,6
296,210,3
297,224,0
298,275,4
299,282,6
300,285,6
301,308,4
302,310,2
303,308,3
304,285,2
305,223,6
306,273,2
307,221,0
308,210,2
309,166,3
310,167,6
311,166,3
312,167,6
313,166,2
314,155,6
315,152,0
316,153,2
317,215,2
318,95,5
319,94,4
320,214,2
321,94,4
322,214,0
323,215,5
324,214,4
325,152,2
326,214,3
327,279,4
328,155,3
329,119,2
330,156,7
331,216,1
332,156,2
333,111,4
334,156,2
335,111,3
336,112,4
337,116,5
338,157,3
339,115,4
340,117,0
341,120,2
342,158,3
343,122,6
344,158,3
345,122,6
346,158,0
347,121,4
348,169,2
349,121,7
