,label,data_len,epic_mean,fird_mean,rew_mean,epic_std,fird_std,rew_std
0,res_stalker_3_stalker_3_stalker_3_stalker_3_stalker_3_voidray_2_voidray_2_voidray_2_voidray_2_voidray_2_,102,0.2621149617624046,0.2539770484738291,0.26211073071073515,0.09057580133327693,0.08358786459134855,0.09057282627907923
1,res_adept_4_adept_4_adept_4_adept_4_adept_4_voidray_2_voidray_2_voidray_2_voidray_2_voidray_2_,101,0.2724658487678422,0.2660936573907256,0.2724611133910603,0.10889089706142718,0.10443098063055378,0.1088857594953181
2,res_adept_1_adept_1_adept_1_adept_1_adept_1_stalker_3_stalker_3_stalker_3_stalker_3_stalker_3_,103,0.20801951183299525,0.18279948632138546,0.2080224826008994,0.11240797326218616,0.087678905720649,0.11240646119088289
3,res_phoenix_3_phoenix_3_phoenix_3_phoenix_3_phoenix_3_voidray_3_voidray_3_voidray_3_voidray_3_voidray_3_,103,0.22926824130682572,0.20913015165621648,0.22927594187910136,0.09009253396187412,0.06616016074751471,0.09009242168156922
4,res_adept_3_adept_3_adept_3_adept_3_adept_3_phoenix_1_phoenix_1_phoenix_1_phoenix_1_phoenix_1_,102,0.17941569902698234,0.15255295530759108,0.17941907215359973,0.06511209211711606,0.05376267686616169,0.06511021753999435
5,res_voidray_1_voidray_1_voidray_1_voidray_1_voidray_1_phoenix_4_phoenix_4_phoenix_4_phoenix_4_phoenix_4_,102,0.22988755396983385,0.20511589210835757,0.2298985327838558,0.08253306831407022,0.06010630765340562,0.08253625792928475
6,res_phoenix_1_phoenix_1_phoenix_1_phoenix_1_phoenix_1_voidray_1_voidray_1_voidray_1_voidray_1_voidray_1_,105,0.2236253076416798,0.17827067866610527,0.22363330561584363,0.08040035082209875,0.053396016169642756,0.0804024206900683
7,res_stalker_2_stalker_2_stalker_2_stalker_2_stalker_2_phoenix_3_phoenix_3_phoenix_3_phoenix_3_phoenix_3_,102,0.22495893855637003,0.1955957767046406,0.22496401491656867,0.0773385279785098,0.06182409643906042,0.07734000079435999
8,res_stalker_4_stalker_4_stalker_4_stalker_4_voidray_1_voidray_1_voidray_1_voidray_1_voidray_1_,101,0.24614136258179953,0.2242352401877904,0.24613605236430722,0.10327762684381828,0.09906010333412972,0.10326505469230186
9,res_adept_3_adept_3_adept_3_adept_3_adept_3_stalker_4_stalker_4_stalker_4_stalker_4_stalker_4_,102,0.26791168635470136,0.23753836799773348,0.26791578056655607,0.15311938810961515,0.1194372558497442,0.15311978639025026
10,res_adept_3_adept_3_adept_3_adept_3_adept_3_voidray_1_voidray_1_voidray_1_voidray_1_voidray_1_,103,0.2778626546393658,0.26369371425594385,0.27785609687748214,0.11665781483459685,0.11483064684251865,0.1166510060342422
11,res_adept_2_adept_2_adept_2_adept_2_adept_2_voidray_4_voidray_4_voidray_4_voidray_4_voidray_4_,104,0.2459618635633685,0.23290163164807715,0.24595921907863635,0.10154635827695108,0.09484848817561375,0.10154503951057277
12,res_phoenix_1_phoenix_1_phoenix_1_phoenix_1_phoenix_1_voidray_4_voidray_4_voidray_4_voidray_4_voidray_4_,107,0.22723389273068434,0.18191883263196082,0.22724163162151625,0.09311569343699047,0.06146748034941508,0.0931171707408345
13,res_voidray_2_voidray_2_voidray_2_voidray_2_voidray_2_phoenix_4_phoenix_4_phoenix_4_phoenix_4_phoenix_4_,102,0.25461138165347474,0.22642488284580717,0.2546187136137118,0.09062319942749834,0.06472479501933225,0.09062636882877374
14,res_stalker_2_stalker_2_stalker_2_stalker_2_stalker_2_voidray_3_voidray_3_voidray_3_voidray_3_voidray_3_,103,0.2734460746690703,0.2708114189298156,0.27344408626491845,0.12556472376026817,0.12742227752772173,0.1255585895611137
15,res_stalker_2_stalker_2_stalker_2_stalker_2_stalker_2_phoenix_4_phoenix_4_phoenix_4_phoenix_4_phoenix_4_,101,0.25481315160671225,0.2222716159039682,0.25481905840291663,0.09993643742231433,0.08078960007805237,0.09993518359018105
16,res_phoenix_2_phoenix_2_phoenix_2_phoenix_2_phoenix_2_stalker_3_stalker_3_stalker_3_stalker_3_stalker_3_,102,0.238971263495577,0.21708868603749662,0.23897250647697882,0.19007065856341124,0.15715784013760137,0.19006933630263098
17,res_voidray_2_voidray_2_voidray_2_voidray_2_voidray_2_stalker_4_stalker_4_stalker_4_stalker_4_stalker_4_,130,0.29767354041902716,0.2957665820898061,0.2976670209228076,0.1249109776944768,0.12491295283698953,0.12490410913927352
18,res_stalker_3_stalker_3_stalker_3_stalker_3_stalker_3_voidray_4_voidray_4_voidray_4_voidray_4_voidray_4_,105,0.2959800108608948,0.2871147534550045,0.29597402403121076,0.11975177825153283,0.11610633391302999,0.11974828502499477
19,res_adept_1_adept_1_adept_1_adept_1_adept_1_voidray_4_voidray_4_voidray_4_voidray_4_voidray_4_,102,0.2680272059452917,0.26256617692790285,0.2680202104472119,0.11691136014860498,0.11890613741626849,0.11690386560711574
20,res_adept_4_adept_4_adept_4_adept_4_adept_4_phoenix_3_phoenix_3_phoenix_3_phoenix_3_phoenix_3_,102,0.2073502447481093,0.17848680672443412,0.20735496120516966,0.06753783444763407,0.05285124156638391,0.06753841112463443
21,res_voidray_3_voidray_3_voidray_3_voidray_3_voidray_3_voidray_3_voidray_3_voidray_3_voidray_3_voidray_3_,102,0.1925926714312723,0.19741663878429938,0.19258500652967217,0.08161321311247537,0.08125007036212022,0.08159752300034843
22,res_voidray_4_voidray_4_voidray_4_voidray_4_adept_2_adept_2_adept_2_adept_2_adept_2_,101,0.2558265713974164,0.24868783930790683,0.25582024738133863,0.09824710368702178,0.09346925060542749,0.09824303522501707
23,res_stalker_1_stalker_1_stalker_1_stalker_1_stalker_1_stalker_1_stalker_1_stalker_1_stalker_1_stalker_1_,102,0.18932346119551913,0.15540762353734902,0.1893273229177957,0.09449590758587963,0.07099059529775205,0.09449638744122787
24,res_voidray_3_voidray_3_voidray_3_voidray_3_voidray_3_stalker_3_stalker_3_stalker_3_stalker_3_stalker_3_,101,0.24892412825747948,0.23955391006249296,0.24891938484652829,0.10801515018323392,0.10078208937719538,0.10800940339755695
25,res_voidray_1_voidray_1_voidray_1_voidray_1_voidray_1_voidray_1_voidray_1_voidray_1_voidray_1_voidray_1_,102,0.1792577273905909,0.16178626128912466,0.17925872009244667,0.07329972561869756,0.061577051646896544,0.0732928492206003
26,res_adept_2_adept_2_adept_2_adept_2_adept_2_stalker_4_stalker_4_stalker_4_stalker_4_stalker_4_,103,0.2991414216713192,0.26272031827750525,0.2991466087945478,0.17393894056676307,0.13677582393273896,0.1739380385659157
27,res_phoenix_1_phoenix_1_phoenix_1_phoenix_1_phoenix_1_phoenix_1_phoenix_1_phoenix_1_phoenix_1_phoenix_1_,104,0.22242735492795543,0.1780659086850284,0.2224333549446094,0.09334482057243136,0.06005527613440607,0.09334428237225707
28,res_phoenix_3_phoenix_3_phoenix_3_phoenix_3_phoenix_3_phoenix_3_phoenix_3_phoenix_3_phoenix_3_phoenix_3_,104,0.27770937464668877,0.26172179622738106,0.27771980370333826,0.11492971820223402,0.09239113860455632,0.11493132253163457
29,res_stalker_4_stalker_4_stalker_4_stalker_4_stalker_4_stalker_4_stalker_4_stalker_4_stalker_4_stalker_4_,102,0.27426476296387214,0.24558444178621458,0.2742713213874064,0.08398533598463202,0.06923098458002812,0.08398423592859947
30,res_adept_4_adept_4_adept_4_adept_4_adept_4_voidray_1_voidray_1_voidray_1_voidray_1_voidray_1_,101,0.24660083350016698,0.22839142707989632,0.24659542966433584,0.10753344866540078,0.1084603841502717,0.10752493337794139
31,res_phoenix_1_phoenix_1_phoenix_1_phoenix_1_phoenix_1_stalker_3_stalker_3_stalker_3_stalker_3_stalker_3_,105,0.2374721885006685,0.20274964067322407,0.23747528035951754,0.16618664928257107,0.1426496716782625,0.16618582723336198
32,res_adept_4_adept_4_adept_4_adept_4_adept_4_voidray_3_voidray_3_voidray_3_voidray_3_voidray_3_,101,0.2471601703101448,0.23837795531217856,0.24715591678967005,0.08697045695121888,0.08218659169314958,0.08696701852725344
33,res_adept_1_adept_1_adept_1_adept_1_adept_1_phoenix_2_phoenix_2_phoenix_2_phoenix_2_phoenix_2_,102,0.23490705451376978,0.20057794563454356,0.23491500344059912,0.12909030950851513,0.10247744017722368,0.1290933829763276
34,res_stalker_1_stalker_1_stalker_1_stalker_1_stalker_1_phoenix_3_phoenix_3_phoenix_3_phoenix_3_phoenix_3_,101,0.21596527036488036,0.17999128887610505,0.21597031639034037,0.09474178561868568,0.07284027954412368,0.09474230478923276
35,res_stalker_1_stalker_1_stalker_1_stalker_1_stalker_1_phoenix_2_phoenix_2_phoenix_2_phoenix_2_phoenix_2_,101,0.19086514040827002,0.16049916362068856,0.1908697788232369,0.07600626925945424,0.05155003190761805,0.07600529104405694
36,res_stalker_4_stalker_4_stalker_4_stalker_4_stalker_4_voidray_2_voidray_2_voidray_2_voidray_2_voidray_2_,103,0.30052820205007447,0.29572826519290624,0.30052055912184644,0.12266100065138001,0.12248448606210692,0.12265439434674702
37,res_adept_1_adept_1_adept_1_adept_1_adept_1_stalker_4_stalker_4_stalker_4_stalker_4_stalker_4_,105,0.23675142146067285,0.20580779926088624,0.23675535036372378,0.12815070708379353,0.09820498820785108,0.12814953733670573
38,res_adept_4_adept_4_adept_4_adept_4_adept_4_stalker_4_stalker_4_stalker_4_stalker_4_stalker_4_,101,0.26573927966881944,0.23772681921422775,0.26574569377016016,0.08064922763739236,0.07165000122406867,0.08064811646301435
39,res_voidray_1_voidray_1_voidray_1_voidray_1_voidray_1_phoenix_2_phoenix_2_phoenix_2_phoenix_2_phoenix_2_,101,0.2073999303236874,0.18623428418222598,0.2074117138469361,0.07340058581363008,0.05101095496737448,0.07340331742401261
40,res_adept_2_adept_2_adept_2_adept_2_adept_2_phoenix_2_phoenix_2_phoenix_2_phoenix_2_phoenix_2_,103,0.18225211738881006,0.16721244994367399,0.18225707684772913,0.10585916073779054,0.08755790373302828,0.10586214550191657
41,res_adept_4_adept_4_adept_4_adept_4_adept_4_phoenix_1_phoenix_1_phoenix_1_phoenix_1_phoenix_1_,103,0.1688273546419804,0.14619912755225703,0.1688292234691447,0.06445966025035375,0.057003321099684735,0.06445576332132899
42,res_voidray_2_voidray_2_voidray_2_voidray_2_adept_2_adept_2_adept_2_adept_2_adept_2_,101,0.32234688569353137,0.3251716286426933,0.322338968736672,0.12243124213128001,0.128524696261889,0.12242160354962331
43,res_voidray_4_voidray_4_voidray_4_voidray_4_voidray_4_stalker_3_stalker_3_stalker_3_stalker_3_stalker_3_,102,0.2674554820637923,0.26426774250435353,0.2674472879725875,0.11121469124300082,0.10538428614550698,0.11120818828729469
44,res_adept_3_adept_3_adept_3_adept_3_adept_3_voidray_4_voidray_4_voidray_4_voidray_4_voidray_4_,106,0.2561310087994827,0.25077465337627924,0.25612326242959094,0.10733233667069426,0.10185391631181294,0.10732356895136713
45,res_phoenix_2_phoenix_2_phoenix_2_phoenix_2_phoenix_2_stalker_4_stalker_4_stalker_4_stalker_4_stalker_4_,102,0.2305217150702995,0.20462140732364795,0.23052708582053164,0.12313193067130604,0.1011189064201252,0.12313301783471427
46,res_adept_1_adept_1_adept_1_adept_1_adept_1_adept_1_adept_1_adept_1_adept_1_adept_1_,207,0.20520908795155018,0.17638093186937218,0.20521301923244453,0.08748176866292225,0.0681738118926062,0.08748262443394239
47,res_stalker_4_stalker_4_stalker_4_stalker_4_stalker_4_voidray_3_voidray_3_voidray_3_voidray_3_voidray_3_,103,0.26666275541562834,0.25877162857262864,0.26665791932203936,0.1023918116098988,0.10075251436799457,0.10238613814281967
48,res_adept_1_adept_1_adept_1_adept_1_adept_1_voidray_2_voidray_2_voidray_2_voidray_2_voidray_2_,104,0.26645697608193447,0.25658013764344006,0.2664499247314721,0.11698130574000468,0.11715585961570997,0.11697407289085665
49,res_stalker_1_stalker_1_stalker_1_stalker_1_stalker_1_voidray_4_voidray_4_voidray_4_voidray_4_voidray_4_,103,0.2082390889799294,0.1970722045189486,0.20823429425456608,0.0910739590624754,0.0917874327332979,0.09106462171521035
