,orig_acc,orig_prec,orig_rec,orig_f1,epic_acc,epic_prec,epic_rec,epic_f1,dard_acc,dard_prec,dard_rec,dard_f1,sard_acc,sard_prec,sard_rec,sard_f1
0,0.23,0.14161279896574014,0.23115634365634366,0.1612927828049779,0.3,0.21616300366300364,0.2995879120879121,0.23344677544677545,0.37,0.2952083333333333,0.36833583083583077,0.30692954104718806,0.32,0.2514136302294197,0.32280219780219777,0.24545940170940175
1,0.17,0.09936939121998543,0.1830808080808081,0.12296296296296297,0.23,0.22260489510489512,0.24035353535353537,0.20276615857261016,0.32,0.28674623987123987,0.3339646464646465,0.29235367798654066,0.26,0.16216356107660454,0.28383838383838383,0.18344017094017093
2,0.24,0.14476803118908382,0.22523809523809524,0.16368711748022094,0.32,0.2330895098356529,0.30214285714285716,0.24666525117828347,0.4,0.3089087301587301,0.37528138528138527,0.32796115406900916,0.3,0.17843895235199583,0.2752380952380952,0.20164367853571585
3,0.26,0.16849618201651861,0.2308080808080808,0.18244564373155345,0.29,0.2475,0.2690656565656565,0.24328485240249947,0.42,0.42407661782661776,0.3971212121212121,0.3768500834677305,0.39,0.29036630036630035,0.3568181818181818,0.29315967065967063
4,0.2,0.14472049689440994,0.2331934731934732,0.16562374162142873,0.26,0.23228287841191064,0.2861849261849262,0.22309440559440558,0.37,0.3272741147741148,0.35864801864801865,0.32509349925200604,0.3,0.25066137566137564,0.30946386946386945,0.23426723991550694
5,0.25,0.1775974025974026,0.23414141414141415,0.17929292929292928,0.31,0.251991341991342,0.29934343434343436,0.24343055868862323,0.39,0.3527569652569652,0.38419191919191914,0.3380426058289835,0.35,0.2598684210526316,0.33545454545454545,0.26014749517471836
6,0.21,0.16054462847941106,0.22482517482517483,0.16722431077694236,0.29,0.2672111222111222,0.2878010878010878,0.2497301695287965,0.33,0.28414502164502164,0.3271134421134422,0.2865660274717802,0.31,0.233030303030303,0.321017871017871,0.2405362586771882
7,0.16,0.12800533384334226,0.17878787878787877,0.12957983193277312,0.24,0.2033583959899749,0.2345959595959596,0.19914212090985545,0.38,0.4317063492063492,0.35970279720279724,0.3283789491270309,0.32,0.24458300924725607,0.35719696969696973,0.25103620803748683
8,0.21,0.15054734537493158,0.2209235209235209,0.16774556712637206,0.26,0.26031144781144777,0.27965367965367965,0.23627213194276014,0.34,0.34890567765567765,0.3638708513708514,0.3322771628976794,0.29,0.23276456876456875,0.30600649350649356,0.2383724480783304
9,0.24,0.16066426936907488,0.21095238095238095,0.16857385351033263,0.36,0.2694927693565464,0.3209920634920635,0.2722704015375825,0.38,0.4187596006144393,0.35396825396825393,0.34495837495837495,0.34,0.2542568542568543,0.32499999999999996,0.25772898154477103
10,0.25,0.22036062378167642,0.22914141414141415,0.19644806806097131,0.36,0.2876190476190476,0.3305050505050505,0.2914166174831136,0.42,0.49420329670329666,0.3957503607503607,0.38235563456151694,0.36,0.2933166833166833,0.33252525252525256,0.2882049257049257
11,0.28,0.22354884246188594,0.24700854700854707,0.2019979384685267,0.33,0.2961904761904762,0.2997863247863248,0.27990777338603423,0.4,0.4318187830687831,0.3873931623931624,0.34763340108167695,0.34,0.29304597701149426,0.308974358974359,0.24551056786350905
12,0.22,0.14997453526865293,0.21599511599511598,0.16522229697530344,0.29,0.22234848484848482,0.27533577533577536,0.22898724082934607,0.36,0.2999986124986125,0.33445665445665446,0.29965140123034856,0.33,0.2871153846153846,0.3326495726495727,0.277958152958153
13,0.23,0.19990319865319867,0.2331318681318681,0.1843859649122807,0.27,0.24237179487179486,0.27436813186813186,0.22865527790063395,0.39,0.32387015283567006,0.36087912087912083,0.3205042754914878,0.33,0.25818803418803415,0.31211538461538463,0.2514356403830088
14,0.21,0.16145520050125314,0.23073593073593074,0.17647727825621562,0.25,0.2223412698412698,0.268008658008658,0.22877139469373908,0.36,0.40323717948717946,0.3959415584415584,0.3615373743903155,0.36,0.28923076923076924,0.3845959595959596,0.2950069924026367
15,0.26,0.16852175894281157,0.24318181818181822,0.18880824372759858,0.29,0.25123737373737376,0.27010101010101006,0.23250094819754263,0.34,0.3115,0.3243434343434343,0.29283513900386965,0.39,0.30312534209085934,0.36858585858585863,0.30221266690958226
16,0.24,0.13302098950524738,0.23517482517482519,0.16593837535014005,0.29,0.22367588932806326,0.2744255744255744,0.22173688349623638,0.36,0.40838069636456725,0.33520701520701524,0.31604410433795277,0.3,0.19142857142857145,0.27200133200133203,0.20384190487431275
17,0.22,0.14750877192982456,0.19848484848484851,0.1517269468882372,0.3,0.22900921658986176,0.2839646464646465,0.23358711056385478,0.37,0.40107448107448107,0.37063131313131314,0.34481418302348166,0.34,0.29996871549503135,0.32313131313131316,0.27012480696691227
18,0.23,0.16210526315789472,0.2255952380952381,0.16722136883427208,0.28,0.22712938402593577,0.28214285714285714,0.23370516499282643,0.38,0.38339882339882336,0.36912698412698414,0.33629535884059664,0.27,0.15185185185185185,0.2511904761904762,0.17339587242026264
19,0.25,0.20102264207527365,0.2477777777777778,0.19871816638370118,0.31,0.26097402597402597,0.2991666666666667,0.25377705627705627,0.37,0.2963095238095238,0.3577777777777778,0.30940476190476196,0.34,0.25552197802197807,0.3352777777777778,0.25360902255639095
20,0.24,0.14317460317460318,0.20265734265734264,0.1585584195091835,0.3,0.21482142857142858,0.2667599067599068,0.22646540657784073,0.37,0.32573686371100163,0.35609390609390607,0.3203478532586038,0.39,0.2892063492063492,0.3517715617715617,0.2891088843639481
21,0.21,0.14353968253968255,0.20075757575757575,0.15175438596491228,0.28,0.21852574985851728,0.2767832167832168,0.21840738971173757,0.35,0.383336070060208,0.3442915417915418,0.3189670821094969,0.36,0.31868189281982384,0.36490259740259734,0.3065527124794859
22,0.24,0.18623333437574924,0.2462121212121212,0.18383099906629316,0.3,0.2845920745920746,0.29829004329004327,0.2466760805117803,0.36,0.4055194805194805,0.3630952380952381,0.33929421014964156,0.35,0.28649039264828735,0.36729437229437234,0.28565600649558676
23,0.24,0.16376068376068376,0.2152056277056277,0.16612172141583909,0.28,0.2425108225108225,0.2461580086580087,0.21639299397920086,0.4,0.43530508706979293,0.3767171717171717,0.35983056370153144,0.33,0.3032097288676236,0.3152489177489177,0.2600348332517116
24,0.14,0.1076110845676063,0.14333333333333334,0.10565060745705908,0.2,0.17846153846153848,0.21166666666666667,0.18177048202873164,0.39,0.4052941176470589,0.3730205905205905,0.35569379266858264,0.28,0.19812988242720744,0.27361111111111114,0.20279280904280905
25,0.24,0.15906381486676016,0.2551010101010101,0.18058213716108454,0.26,0.16518952062430325,0.2728030303030303,0.197346547314578,0.36,0.31388888888888883,0.38732323232323235,0.3296307671307671,0.29,0.2372349896480331,0.3146212121212121,0.23030783058946444
26,0.27,0.20637362637362636,0.24112554112554113,0.1985042735042735,0.37,0.3177552017874598,0.3459776334776335,0.30626404721481115,0.43,0.49233013155426947,0.4087024087024086,0.38716585329588427,0.36,0.28214304852235883,0.31906926406926406,0.2710632024034717
27,0.22,0.16856060606060605,0.22011904761904763,0.16248366013071894,0.29,0.2957469654528478,0.28845238095238096,0.25399568439816117,0.36,0.3291167434715822,0.3444047619047619,0.31272238245280604,0.37,0.31998075998076,0.37523809523809526,0.28838293695236195
28,0.25,0.1674025974025974,0.245995670995671,0.1761327561327561,0.3,0.24039589442815248,0.31524170274170277,0.2504969129477733,0.38,0.34366071428571426,0.38010461760461756,0.3376294903926483,0.32,0.25335764235764235,0.31497113997114,0.2547867211025106
29,0.23,0.16289927404718693,0.23186147186147185,0.17853469881600553,0.27,0.23168501788067006,0.26706349206349206,0.23247119324588178,0.44,0.47292114695340504,0.43853035853035854,0.42477730731600694,0.31,0.2090836630556902,0.30766955266955265,0.2229292929292929
30,0.23,0.17894409937888198,0.23333333333333334,0.18091896407685878,0.33,0.27979870129870127,0.32075757575757574,0.2663293614217196,0.41,0.35335497835497837,0.3839393939393939,0.34732011187388767,0.29,0.22714285714285715,0.295,0.22057461873638343
31,0.19,0.16549504417151475,0.18170454545454545,0.14900362318840582,0.26,0.19156314699792962,0.25090909090909086,0.19629640947288007,0.35,0.3287583680687129,0.35403429903429906,0.3108714848962527,0.3,0.25357142857142856,0.3033037795537795,0.22591227400050928
32,0.29,0.23123905080426818,0.2631479631479631,0.21530345471521942,0.35,0.32428355957767724,0.3169067044067044,0.2698267342051833,0.45,0.5085913647755753,0.44755994005994,0.4117681663877316,0.36,0.2889234449760766,0.33182373182373187,0.2714514342871432
33,0.27,0.1761302681992337,0.2659188034188034,0.19553113553113555,0.34,0.28987193362193364,0.3405555555555556,0.28973058719509026,0.41,0.43589985994397756,0.41040404040404044,0.37892293079919853,0.37,0.32383413078149925,0.3807264957264957,0.31610622564569935
34,0.28,0.1797662337662338,0.2724908424908425,0.1896384699890143,0.33,0.31263188608776843,0.30543345543345546,0.2563661814109742,0.4,0.45263457556935816,0.4021001221001221,0.35598497773911975,0.33,0.21989304812834223,0.2904462204462205,0.21428108314263922
35,0.22,0.1591064586754242,0.24041847041847042,0.17059139784946237,0.29,0.2609983896940419,0.31419913419913414,0.26376921038685747,0.36,0.337921146953405,0.3749062049062049,0.33196065514479833,0.28,0.21994444444444444,0.29678210678210676,0.22266339869281046
36,0.2,0.14673789173789173,0.21941919191919196,0.1472808508305466,0.26,0.2274206349206349,0.2781371406371406,0.21341432904900398,0.39,0.4211147186147186,0.39687645687645684,0.36045454545454547,0.31,0.27625,0.3337587412587413,0.24635552682611506
37,0.22,0.17116883116883116,0.22568542568542566,0.1829562401957419,0.32,0.2559574684574685,0.3135642135642135,0.25990829346092503,0.38,0.3522465437788019,0.376984126984127,0.33668871174591997,0.32,0.25884990253411305,0.3159451659451659,0.2507382091592618
38,0.24,0.18619694397283532,0.25926767676767676,0.19762944965784723,0.29,0.2474891774891775,0.321010101010101,0.26627285124576144,0.37,0.33619731800766284,0.3993084693084693,0.34459739748742313,0.31,0.24631226053639846,0.32737373737373743,0.24454434454434454
39,0.22,0.14547619047619048,0.2003030303030303,0.15094994611123644,0.28,0.20734126984126985,0.2586013986013986,0.21952895326287938,0.38,0.37015182884748105,0.35097374847374846,0.3326614258606669,0.33,0.22785534276406488,0.3044372294372294,0.23736998633550357
